ValoresRms,TimeStamp,EPOCH,ClasseAparelho
1.008,07/07/2020 16:28:28.891,1594150108891,0
1.082,07/07/2020 16:28:29.391,1594150109391,0
1.031,07/07/2020 16:28:29.891,1594150109891,0
1.004,07/07/2020 16:28:30.391,1594150110391,0
0.999,07/07/2020 16:28:30.891,1594150110891,0
0.984,07/07/2020 16:28:31.391,1594150111391,0
0.991,07/07/2020 16:28:31.891,1594150111891,0
0.979,07/07/2020 16:28:32.391,1594150112391,0
0.974,07/07/2020 16:28:32.891,1594150112891,0
1.038,07/07/2020 16:28:33.391,1594150113391,0
0.989,07/07/2020 16:28:33.892,1594150113892,0
0.987,07/07/2020 16:28:34.392,1594150114392,0
1.030,07/07/2020 16:28:34.892,1594150114892,0
1.015,07/07/2020 16:28:35.392,1594150115392,0
1.014,07/07/2020 16:28:35.892,1594150115892,0
0.998,07/07/2020 16:28:36.392,1594150116392,0
1.007,07/07/2020 16:28:36.892,1594150116892,0
1.005,07/07/2020 16:28:37.392,1594150117392,0
0.990,07/07/2020 16:28:37.892,1594150117892,0
0.999,07/07/2020 16:28:38.393,1594150118393,0
0.990,07/07/2020 16:28:38.893,1594150118893,0
0.985,07/07/2020 16:28:39.393,1594150119393,0
1.004,07/07/2020 16:28:39.893,1594150119893,0
0.983,07/07/2020 16:28:40.393,1594150120393,0
1.013,07/07/2020 16:28:40.893,1594150120893,0
1.006,07/07/2020 16:28:41.393,1594150121393,0
1.001,07/07/2020 16:28:41.893,1594150121893,0
1.001,07/07/2020 16:28:42.393,1594150122393,0
1.009,07/07/2020 16:28:42.893,1594150122893,0
1.003,07/07/2020 16:28:43.394,1594150123394,0
1.011,07/07/2020 16:28:43.894,1594150123894,0
1.001,07/07/2020 16:28:44.394,1594150124394,0
1.000,07/07/2020 16:28:44.894,1594150124894,0
0.994,07/07/2020 16:28:45.394,1594150125394,0
0.998,07/07/2020 16:28:45.894,1594150125894,0
0.999,07/07/2020 16:28:46.394,1594150126394,0
0.997,07/07/2020 16:28:46.894,1594150126894,0
0.944,07/07/2020 16:28:47.394,1594150127394,0
0.947,07/07/2020 16:28:47.895,1594150127895,0
0.966,07/07/2020 16:28:48.395,1594150128395,0
0.964,07/07/2020 16:28:48.895,1594150128895,0
0.951,07/07/2020 16:28:49.395,1594150129395,0
0.941,07/07/2020 16:28:49.895,1594150129895,0
0.958,07/07/2020 16:28:50.395,1594150130395,0
0.942,07/07/2020 16:28:50.895,1594150130895,0
0.951,07/07/2020 16:28:51.395,1594150131395,0
0.950,07/07/2020 16:28:51.895,1594150131895,0
0.946,07/07/2020 16:28:52.395,1594150132395,0
0.942,07/07/2020 16:28:52.896,1594150132896,0
0.979,07/07/2020 16:28:53.396,1594150133396,0
0.958,07/07/2020 16:28:53.896,1594150133896,0
0.957,07/07/2020 16:28:54.396,1594150134396,0
1.011,07/07/2020 16:28:54.896,1594150134896,0
0.964,07/07/2020 16:28:55.396,1594150135396,0
0.943,07/07/2020 16:28:55.896,1594150135896,0
0.942,07/07/2020 16:28:56.396,1594150136396,0
0.949,07/07/2020 16:28:56.896,1594150136896,0
0.956,07/07/2020 16:28:57.397,1594150137397,0
0.951,07/07/2020 16:28:57.897,1594150137897,0
0.934,07/07/2020 16:28:58.397,1594150138397,0
0.953,07/07/2020 16:28:58.897,1594150138897,0
0.964,07/07/2020 16:28:59.397,1594150139397,0
0.989,07/07/2020 16:28:59.897,1594150139897,0
0.954,07/07/2020 16:29:00.397,1594150140397,0
0.955,07/07/2020 16:29:00.897,1594150140897,0
0.949,07/07/2020 16:29:01.397,1594150141397,0
0.948,07/07/2020 16:29:01.897,1594150141897,0
0.935,07/07/2020 16:29:02.398,1594150142398,0
0.942,07/07/2020 16:29:02.898,1594150142898,0
0.946,07/07/2020 16:29:03.398,1594150143398,0
0.943,07/07/2020 16:29:03.898,1594150143898,0
0.947,07/07/2020 16:29:04.398,1594150144398,0
0.946,07/07/2020 16:29:04.898,1594150144898,0
0.971,07/07/2020 16:29:05.398,1594150145398,0
0.942,07/07/2020 16:29:05.898,1594150145898,0
0.976,07/07/2020 16:29:06.398,1594150146398,0
0.950,07/07/2020 16:29:06.899,1594150146899,0
0.974,07/07/2020 16:29:07.399,1594150147399,0
0.947,07/07/2020 16:29:07.899,1594150147899,0
0.939,07/07/2020 16:29:08.399,1594150148399,0
0.956,07/07/2020 16:29:08.899,1594150148899,0
0.937,07/07/2020 16:29:09.399,1594150149399,0
0.936,07/07/2020 16:29:09.899,1594150149899,0
0.955,07/07/2020 16:29:10.399,1594150150399,0
0.947,07/07/2020 16:29:10.899,1594150150899,0
0.954,07/07/2020 16:29:11.400,1594150151400,0
0.943,07/07/2020 16:29:11.900,1594150151900,0
0.960,07/07/2020 16:29:12.400,1594150152400,0
0.952,07/07/2020 16:29:12.900,1594150152900,0
0.964,07/07/2020 16:29:13.400,1594150153400,0
0.951,07/07/2020 16:29:13.900,1594150153900,0
0.994,07/07/2020 16:29:14.400,1594150154400,0
0.986,07/07/2020 16:29:14.900,1594150154900,0
0.985,07/07/2020 16:29:15.400,1594150155400,0
0.999,07/07/2020 16:29:15.900,1594150155900,0
1.001,07/07/2020 16:29:16.401,1594150156401,0
0.987,07/07/2020 16:29:16.901,1594150156901,0
1.004,07/07/2020 16:29:17.401,1594150157401,0
0.997,07/07/2020 16:29:17.901,1594150157901,0
1.010,07/07/2020 16:29:18.401,1594150158401,0
1.000,07/07/2020 16:29:18.901,1594150158901,0
0.988,07/07/2020 16:29:19.401,1594150159401,0
0.991,07/07/2020 16:29:19.901,1594150159901,0
0.993,07/07/2020 16:29:20.401,1594150160401,0
1.019,07/07/2020 16:29:20.902,1594150160902,0
0.977,07/07/2020 16:29:21.402,1594150161402,0
0.982,07/07/2020 16:29:21.902,1594150161902,0
0.977,07/07/2020 16:29:22.402,1594150162402,0
0.980,07/07/2020 16:29:22.902,1594150162902,0
1.027,07/07/2020 16:29:23.402,1594150163402,0
0.984,07/07/2020 16:29:23.902,1594150163902,0
0.985,07/07/2020 16:29:24.402,1594150164402,0
0.980,07/07/2020 16:29:24.902,1594150164902,0
1.010,07/07/2020 16:29:25.402,1594150165402,0
0.943,07/07/2020 16:29:25.903,1594150165903,0
0.939,07/07/2020 16:29:26.403,1594150166403,0
0.949,07/07/2020 16:29:26.903,1594150166903,0
0.951,07/07/2020 16:29:27.403,1594150167403,0
0.960,07/07/2020 16:29:27.903,1594150167903,0
0.967,07/07/2020 16:29:28.403,1594150168403,0
0.950,07/07/2020 16:29:28.903,1594150168903,0
0.955,07/07/2020 16:29:29.403,1594150169403,0
0.955,07/07/2020 16:29:29.903,1594150169903,0
0.965,07/07/2020 16:29:30.404,1594150170404,0
0.937,07/07/2020 16:29:30.904,1594150170904,0
0.945,07/07/2020 16:29:31.404,1594150171404,0
0.951,07/07/2020 16:29:31.904,1594150171904,0
0.934,07/07/2020 16:29:32.404,1594150172404,0
0.959,07/07/2020 16:29:32.904,1594150172904,0
0.942,07/07/2020 16:29:33.404,1594150173404,0
