ValoresRms,TimeStamp,EPOCH,ligando_1,desligando_1
0.766,01/07/2020 21:29:47.121,1593649787121,0,0
0.764,01/07/2020 21:29:47.621,1593649787621,0,0
0.769,01/07/2020 21:29:48.121,1593649788121,0,0
0.767,01/07/2020 21:29:48.621,1593649788621,0,0
0.775,01/07/2020 21:29:49.121,1593649789121,0,0
0.767,01/07/2020 21:29:49.621,1593649789621,0,0
0.754,01/07/2020 21:29:50.121,1593649790121,0,0
0.762,01/07/2020 21:29:50.621,1593649790621,0,0
0.748,01/07/2020 21:29:51.121,1593649791121,0,0
0.762,01/07/2020 21:29:51.621,1593649791621,0,0
0.760,01/07/2020 21:29:52.121,1593649792121,0,0
0.756,01/07/2020 21:29:52.621,1593649792621,0,0
0.754,01/07/2020 21:29:53.121,1593649793121,0,0
0.757,01/07/2020 21:29:53.621,1593649793621,0,0
0.749,01/07/2020 21:29:54.121,1593649794121,0,0
0.756,01/07/2020 21:29:54.621,1593649794621,0,0
0.765,01/07/2020 21:29:55.121,1593649795121,0,0
0.752,01/07/2020 21:29:55.621,1593649795621,0,0
0.757,01/07/2020 21:29:56.121,1593649796121,0,0
0.759,01/07/2020 21:29:56.621,1593649796621,0,0
0.756,01/07/2020 21:29:57.121,1593649797121,0,0
0.750,01/07/2020 21:29:57.621,1593649797621,0,0
0.728,01/07/2020 21:29:58.121,1593649798121,0,0
0.729,01/07/2020 21:29:58.621,1593649798621,0,0
0.732,01/07/2020 21:29:59.121,1593649799121,0,0
0.725,01/07/2020 21:29:59.621,1593649799621,0,0
0.733,01/07/2020 21:30:00.121,1593649800121,0,0
0.730,01/07/2020 21:30:00.621,1593649800621,0,0
2.467,01/07/2020 21:30:01.121,1593649801121,1,0
2.477,01/07/2020 21:30:01.621,1593649801621,0,0
2.481,01/07/2020 21:30:02.121,1593649802121,0,0
2.475,01/07/2020 21:30:02.621,1593649802621,0,0
2.505,01/07/2020 21:30:03.121,1593649803121,0,0
2.517,01/07/2020 21:30:03.621,1593649803621,0,0
2.499,01/07/2020 21:30:04.121,1593649804121,0,0
2.518,01/07/2020 21:30:04.621,1593649804621,0,0
2.519,01/07/2020 21:30:05.121,1593649805121,0,0
2.520,01/07/2020 21:30:05.621,1593649805621,0,0
2.519,01/07/2020 21:30:06.121,1593649806121,0,0
3.009,01/07/2020 21:30:06.621,1593649806621,0,0
2.956,01/07/2020 21:30:07.121,1593649807121,0,0
2.926,01/07/2020 21:30:07.621,1593649807621,0,0
1.598,01/07/2020 21:30:08.121,1593649808121,0,0
1.636,01/07/2020 21:30:08.621,1593649808621,0,0
2.487,01/07/2020 21:30:09.121,1593649809121,0,0
2.934,01/07/2020 21:30:09.621,1593649809621,0,0
2.927,01/07/2020 21:30:10.121,1593649810121,0,0
